epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,604.658,1.23231,1.86773,0.92185,0.63318,0.34248,0.3963,0.28029,1.03359,2.09266,1.02639,6.48752e-05,6.48752e-05,6.48752e-05
40,619.847,1.25196,1.91989,0.93079,0.60869,0.34005,0.4024,0.2939,1.00305,2.11833,1.02298,6.38456e-05,6.38456e-05,6.38456e-05
41,635.277,1.22088,1.87661,0.92472,0.5433,0.37137,0.40938,0.28997,1.01699,2.03944,1.01796,6.2816e-05,6.2816e-05,6.2816e-05
42,650.996,1.20899,1.77772,0.92093,0.55367,0.36917,0.41258,0.30193,0.99326,2.0735,1.01529,6.17864e-05,6.17864e-05,6.17864e-05
43,666.51,1.18525,1.76039,0.90771,0.57936,0.32451,0.41431,0.30648,0.99755,2.03563,1.01603,6.07568e-05,6.07568e-05,6.07568e-05
44,681.995,1.19325,1.76152,0.92005,0.57796,0.35958,0.42482,0.31809,0.98589,2.02693,1.0083,5.97272e-05,5.97272e-05,5.97272e-05
45,697.749,1.18464,1.75044,0.90665,0.56984,0.34884,0.42775,0.31458,0.98521,2.00006,1.00637,5.86976e-05,5.86976e-05,5.86976e-05
46,713.19,1.19735,1.75039,0.91214,0.55704,0.34137,0.41804,0.30643,0.9777,1.98906,1.00016,5.7668e-05,5.7668e-05,5.7668e-05
47,728.941,1.17169,1.69105,0.91486,0.59516,0.34314,0.4237,0.31344,0.96557,1.95832,0.99901,5.66384e-05,5.66384e-05,5.66384e-05
48,744.2,1.19337,1.66553,0.92453,0.65943,0.32429,0.42761,0.31442,0.98203,1.9784,1.00683,5.56088e-05,5.56088e-05,5.56088e-05
49,759.61,1.17676,1.73443,0.90738,0.46916,0.38159,0.41824,0.30637,0.9866,1.98126,1.00645,5.45792e-05,5.45792e-05,5.45792e-05
50,774.673,1.16249,1.69269,0.92294,0.53936,0.3789,0.4189,0.30987,0.98342,2.01072,1.01343,5.35496e-05,5.35496e-05,5.35496e-05
51,789.989,1.19563,1.73349,0.92071,0.46079,0.39055,0.41731,0.3027,0.98253,1.99215,1.0096,5.252e-05,5.252e-05,5.252e-05
52,805.402,1.19138,1.653,0.91345,0.60103,0.35008,0.41538,0.30802,0.97607,1.93789,1.0111,5.14904e-05,5.14904e-05,5.14904e-05
53,820.536,1.15763,1.65171,0.91634,0.61193,0.35123,0.4129,0.30355,0.98596,1.93737,1.00662,5.04608e-05,5.04608e-05,5.04608e-05
54,835.735,1.18129,1.64754,0.90774,0.57915,0.35538,0.4139,0.30418,0.98826,1.9835,1.01093,4.94312e-05,4.94312e-05,4.94312e-05
